,종목코드,회사명,결산월,결산년도,유동비율,당좌비율,부채비율,자기자본비율,차입금의존도,현금비율,순운전자본비율,자기자본이익률,총자산이익률,매출총이익률,영업이익률,매출액성장률,자산성장률,자기자본성장률,매출총이익성장률,총자산회전율,매출채권회전율,재고자산회전율,순운전자본회전율,총부채상환능력비율,label
2640,[068050],팬엔터테인먼트,12,2016,71.77,68.58,42.53,57.47,73.99,7.01,-9.35,0.3,0.17,inf,inf,,4.83,7.11,-325.47,0.0,,0.0,-0.0,-12.67,0
2641,[028670],팬오션,12,2016,98.68,89.26,40.82,59.18,68.98,38.39,-0.16,0.92,0.54,12.25,9.9,-8.76,0.74,5.1,-27.73,9.46,inf,914.46,4927.11,13.83,0
2642,[222110],팬젠,12,2016,1573.81,1573.75,5.59,94.41,5.92,1141.83,46.83,-6.12,-4.81,0.0,-497.49,-60.83,135.22,438.14,,1.37,inf,106081.54,9.48,-207.72,0
2643,[010820],퍼스텍,12,2016,99.18,56.72,64.46,35.54,181.35,0.65,-0.42,-0.26,-0.09,inf,inf,,-2.61,-1.25,-16.96,0.0,0.0,0.0,-0.0,-0.71,0
2644,[016800],퍼시스,12,2016,494.06,438.82,11.61,88.39,13.13,199.71,35.48,0.0,0.0,,,,3.73,4.17,,0.0,,0.0,0.0,49.31,0
2645,[001020],페이퍼코리아,12,2016,42.26,32.85,68.39,31.61,216.36,1.37,-35.86,-5.76,-1.74,inf,-inf,,-4.58,4.21,-4.66,0.0,0.0,0.0,-0.0,-6.38,0
2646,[087010],펩트론,12,2016,5312.82,5287.15,8.1,91.9,8.82,383.36,83.21,-2.27,-2.01,39.01,-113.85,11.32,167.36,208.86,33.12,1.97,inf,569.91,5.78,-58.17,0
2647,[090080],평화산업,12,2016,85.91,69.0,63.98,36.02,177.66,0.58,-6.64,0.87,0.31,6.46,0.75,2.32,0.32,-0.23,7.82,49.63,inf,704.43,-1842.73,20.21,0
2648,[010770],평화홀딩스,12,2016,97.35,97.35,36.35,63.65,57.1,22.25,-0.75,0.0,0.0,,inf,,0.19,2.6,,0.0,,,0.0,9.03,0
2649,[119500],포메탈,12,2016,177.48,129.94,26.99,73.01,36.97,29.5,11.96,0.0,0.0,inf,inf,,-0.05,4.48,26.88,0.0,,0.0,0.0,20.89,0
2650,[005490],포스코,12,2016,434.99,286.86,14.84,85.16,17.43,4.47,17.36,0.0,0.0,18.18,10.83,-5.01,1.45,3.03,6.95,11.77,inf,163.86,189.44,0.0,0
2651,[009520],포스코엠텍,12,2016,138.65,123.24,48.94,51.06,95.84,0.19,17.6,0.81,0.37,10.96,6.13,-24.52,-18.29,-0.47,-12.61,38.63,inf,459.69,685.9,38.08,0
2652,[189690],포시에스,6,2016,3401.37,3401.37,2.45,97.55,2.51,812.44,80.81,2.6,2.52,inf,inf,,3.3,4.56,5.85,0.0,,,0.0,417.4,0
2653,[005670],푸드웰,12,2016,100.22,54.42,50.57,49.43,102.29,9.26,0.09,1.22,0.62,inf,inf,,7.05,3.19,11.48,0.0,0.0,0.0,0.0,9.37,0
2654,[094940],푸른기술,12,2016,494.02,336.37,24.29,75.71,32.09,98.88,42.95,0.5,0.37,inf,inf,,-3.06,1.94,40.62,0.0,0.0,0.0,0.0,12.93,0
2655,[017810],풀무원,12,2016,41.96,41.93,26.0,74.0,35.13,30.67,-9.89,0.68,0.51,,inf,,2.46,0.58,,0.0,0.0,0.0,-0.0,0.0,0
2656,[103160],풀무원식품,12,2016,96.97,71.68,36.4,63.6,57.22,12.74,-0.65,0.8,0.51,inf,inf,,0.28,0.25,2.47,0.0,,0.0,0.0,0.0,0
2657,[093380],풍강,8,2016,229.53,130.53,35.64,64.36,55.37,9.78,20.68,0.86,0.56,inf,inf,,5.74,1.74,2.34,0.0,0.0,0.0,0.0,0.06,0
2658,[023900],풍국주정,12,2016,739.19,674.24,6.07,93.93,6.46,175.26,33.4,2.21,2.06,inf,inf,,4.14,5.5,12.24,0.0,0.0,0.0,0.0,163.27,0
2659,[103140],풍산,12,2016,144.32,71.96,47.31,52.69,89.78,1.06,12.62,0.0,0.0,13.42,8.33,-0.31,4.5,12.48,37.99,22.18,inf,104.73,482.86,0.0,0
2660,[005810],풍산홀딩스,12,2016,460.21,406.01,9.82,90.18,10.89,62.05,16.51,0.0,0.0,,inf,,1.43,1.09,,0.0,,0.0,0.0,28.86,0
2661,[220100],퓨쳐켐,12,2016,1585.24,1540.78,4.76,95.24,5.0,1107.81,70.66,-94.6,-27.9,-inf,-inf,,109.74,-284.28,339.31,0.0,0.0,0.0,0.0,-139.74,0
2662,[035200],프럼파스트,12,2016,378.31,312.67,25.82,74.18,34.81,36.94,50.54,3.0,2.21,inf,inf,,8.14,10.2,33.4,0.0,0.0,0.0,0.0,8.7,0
2663,[053610],프로텍,12,2016,277.18,225.39,15.59,84.41,18.48,96.75,23.39,2.75,2.29,30.68,19.42,27.05,8.66,11.71,25.87,15.84,inf,211.81,197.93,90.48,0
2664,[053160],프리엠스,12,2016,853.05,835.59,10.51,89.49,11.75,48.82,69.45,1.08,0.98,inf,inf,,22.51,17.94,-42.56,0.0,0.0,0.0,0.0,49.36,0
2665,[060910],프리젠,12,2016,89.52,75.64,52.37,47.63,109.95,1.1,-4.5,-11.49,-5.95,0.78,-35.93,2.29,-28.22,-37.52,12.79,11.27,inf,150.58,-1096.7,-0.43,0
2666,[075130],플랜티넷,12,2016,558.33,551.43,inf,inf,6.23,90.61,inf,0.79,1.5,,,,-100.0,1.29,,0.0,,0.0,0.0,78.85,0
2667,[023770],플레이위드,12,2016,13.18,13.18,87.45,12.55,696.67,2.79,-74.84,6.2,0.62,59.35,19.77,36.26,9.98,94.97,10.41,3.57,184.62,inf,-11.89,1.5,0
2668,[032580],피델릭스,12,2016,202.26,71.83,49.77,50.23,99.08,20.08,36.91,-8.02,-4.49,,,,-12.26,-27.74,,0.0,,0.0,0.0,1.85,0
2669,[051380],피씨디렉트,12,2016,213.28,168.27,45.54,54.46,83.63,26.44,51.11,1.25,0.64,inf,inf,,2.55,15.91,22.07,0.0,,0.0,0.0,-2.19,0
2670,[241820],피씨엘,12,2016,500.6,499.87,16.19,83.81,19.32,115.13,60.91,-9.4,-7.56,inf,-inf,,35.35,49.57,220.31,0.0,,0.0,0.0,-170.34,0
2671,[237750],피앤씨테크,12,2016,886.03,819.04,11.58,88.42,13.09,244.53,73.76,3.52,2.97,30.79,20.26,17.21,114.29,151.68,5.05,16.53,inf,236.34,56.16,57.27,0
2672,[031980],피에스케이,12,2016,585.31,486.13,12.76,87.24,14.63,148.34,52.32,3.07,2.75,inf,inf,,16.47,10.21,33.1,0.0,0.0,0.0,0.0,126.78,0
2673,[002230],피에스텍,12,2016,1347.05,1226.35,10.09,89.91,11.22,108.2,62.55,0.88,0.8,inf,inf,,5.98,2.84,-29.06,0.0,,0.0,0.0,-3.14,0
2674,[137400],피엔티,12,2016,130.62,73.29,57.97,42.03,137.9,0.15,17.06,2.87,1.35,inf,inf,,42.59,10.29,117.29,0.0,,0.0,0.0,-0.76,0
2675,[128660],피제이메탈,12,2016,165.58,61.2,49.62,50.38,98.48,3.39,24.08,0.0,0.0,3.19,1.48,-2.49,28.16,14.3,-65.77,37.67,inf,117.44,426.26,-20.65,0
2676,[006140],피제이전자,12,2016,339.34,220.89,15.56,84.44,18.43,4.92,37.0,2.05,1.72,inf,inf,,5.04,6.06,3.34,0.0,0.0,0.0,0.0,17.8,0
2677,[087600],픽셀플러스,12,2016,1156.38,1008.13,7.14,92.86,7.69,288.37,74.83,-1.53,-1.44,18.34,-10.11,-30.85,-12.96,-15.09,-53.15,15.58,inf,135.28,53.99,10.78,0
2678,[067310],하나마이크론,12,2016,34.62,29.42,64.29,35.71,180.04,2.15,-37.41,-4.87,-1.89,,-inf,,1.15,-13.75,,0.0,,0.0,-0.0,9.01,0
2679,[208870],하나머스트3호스팩,12,2016,inf,inf,15.66,84.34,18.57,inf,100.0,0.01,0.01,,-inf,,0.36,0.04,,0.0,,,0.0,2.84,1
2680,[215100],하나머스트4호스팩,12,2016,1466251.49,1466251.49,19.08,80.92,23.57,262690.56,99.99,0.2,0.16,,-inf,,1.08,0.81,,0.0,,,0.0,5.09,1
2681,[218150],하나머스트5호스팩,12,2016,1825514.14,1825514.14,17.86,82.14,21.75,301160.18,99.99,0.21,0.17,,-inf,,0.98,0.85,,0.0,,,0.0,5.0,1
2682,[039130],하나투어,12,2016,88.16,88.16,58.86,41.14,143.09,41.51,-6.88,1.35,0.58,,inf,,4.5,-3.88,,0.0,,,-0.0,19.01,0
2683,[136480],하림,12,2016,97.71,56.21,54.07,45.93,117.73,14.0,-1.07,2.16,0.84,19.1,2.54,3.47,-21.56,8.09,19.66,40.17,inf,192.07,-5416.41,36.34,0
2684,[149980],하이로닉,12,2016,2583.72,2309.29,3.61,96.39,3.74,116.6,64.32,0.87,0.84,inf,inf,,-1.49,-0.98,-22.47,0.0,,0.0,0.0,68.55,0
2685,[013030],하이록코리아,12,2016,662.77,488.52,12.8,87.2,14.68,36.9,58.27,2.48,2.14,,,,5.41,8.1,,0.0,,0.0,0.0,50.44,0
2686,[126700],하이비젼시스템,12,2016,382.68,320.56,19.88,80.12,24.81,60.36,55.85,1.09,0.91,32.88,5.51,-11.68,11.86,3.07,-5.8,20.89,76.21,181.34,98.09,74.33,0
2687,[106080],하이소닉,12,2016,58.59,47.82,39.26,60.74,64.64,7.15,-14.6,-4.12,-2.54,-inf,-inf,,23.35,19.51,-131.87,0.0,,0.0,-0.0,-1.26,0
2688,[071090],하이스틸,12,2016,106.91,71.41,48.16,51.84,92.91,13.04,2.25,0.79,0.41,13.43,4.75,12.11,6.95,3.16,306.5,15.84,inf,136.54,-4131.91,5.58,0
2689,[221840],하이즈항공,12,2016,356.63,333.63,40.61,59.39,68.37,18.63,29.26,0.0,0.0,6.19,-4.89,6.82,2.41,-8.14,-72.37,6.52,inf,307.04,48.89,-5.46,0
2690,[106190],하이텍팜,12,2016,261.08,196.66,14.48,85.52,16.93,63.39,21.64,1.33,1.15,inf,inf,,6.17,4.09,0.3,0.0,,0.0,0.0,8.45,0
2691,[019490],하이트론씨스템즈,12,2016,266.57,182.8,29.51,70.49,41.86,19.5,37.85,2.74,1.94,4.01,-18.39,-24.9,19.24,18.5,-51.21,17.35,inf,87.4,129.16,-45.33,0
2692,[000080],하이트진로,12,2016,61.22,52.9,59.41,40.59,146.34,7.18,-15.81,0.9,0.37,inf,inf,,-1.69,-2.09,-0.49,0.0,,0.0,-0.0,8.61,0
2693,[000140],하이트진로홀딩스,12,2016,3.03,3.03,40.13,59.87,67.03,2.75,-31.21,0.62,0.35,,inf,,-7.76,2.29,,0.0,,,-0.0,2.99,0
2694,[219550],한강인터트레이드,12,2016,320703.74,320703.74,14.8,85.2,17.38,45773.8,99.97,0.0,0.0,,-inf,,0.45,0.01,,0.0,0.0,,0.0,2.96,1
2695,[004590],한국가구,12,2016,199.79,81.55,12.92,87.08,14.84,52.9,7.14,0.49,0.43,48.54,-9.93,-0.71,0.37,-0.09,7.84,3.63,inf,42.74,133.93,24.27,0
2696,[036460],한국가스공사,12,2016,143.77,123.88,79.17,20.83,380.02,2.79,6.03,-2.56,-0.55,inf,inf,,-6.83,-11.28,-4.52,0.0,,0.0,0.0,14.03,0
2697,[039340],한국경제TV,12,2016,303.63,303.63,13.6,86.4,15.74,29.32,26.81,3.4,2.82,,inf,,2.23,11.89,,0.0,,,0.0,38.3,0
2698,[005430],한국공항,12,2016,364.63,353.31,23.68,76.32,31.02,42.81,31.01,1.48,1.09,inf,inf,,-2.5,4.76,19.9,0.0,,0.0,0.0,45.65,0
2699,[034950],한국기업평가,12,2016,480.81,480.81,15.62,84.38,18.51,39.0,46.62,3.25,2.69,inf,inf,,0.14,3.78,4.42,0.0,0.0,,0.0,57.91,0
2700,[010040],한국내화,12,2016,100.84,60.62,47.45,52.55,90.31,0.85,0.29,1.37,0.7,11.31,3.72,-3.43,2.16,6.48,6.71,31.76,177.37,232.77,7981.5,8.21,0
2701,[025540],한국단자공업,12,2016,225.43,188.0,26.08,73.92,35.28,36.29,26.39,0.0,0.0,18.47,11.61,10.94,19.41,9.92,15.39,23.91,inf,281.18,236.19,69.06,0
2702,[222980],한국맥널티,12,2016,283.71,246.86,26.87,73.13,36.74,106.28,34.57,2.6,1.89,inf,inf,,7.34,8.44,26.26,0.0,,0.0,0.0,35.32,0
2703,[004090],한국석유공업,12,2016,162.4,135.5,31.1,68.9,45.14,4.48,13.67,0.0,0.0,21.07,7.74,2.32,0.62,4.82,-5.54,25.52,inf,454.21,542.52,11.53,0
2704,[025550],한국선재,12,2016,138.36,78.56,46.88,53.12,88.25,13.82,11.43,0.76,0.43,14.27,4.92,7.62,12.69,-0.38,43.58,24.54,inf,122.61,479.11,5.01,0
2705,[002200],한국수출포장공업,12,2016,152.72,113.97,25.28,74.72,33.84,14.31,7.73,-0.06,-0.04,inf,inf,,-0.65,-0.93,-0.04,0.0,,0.0,0.0,17.36,0
2706,[002960],한국쉘석유,12,2016,411.17,334.42,20.86,79.14,26.36,44.36,64.64,0.0,0.0,,,,-2.82,0.48,,0.0,,0.0,0.0,117.07,0
2707,[017890],한국알콜,12,2016,237.49,193.5,18.12,81.88,22.13,73.6,22.12,2.91,2.4,,,,13.66,11.88,,0.0,0.0,0.0,0.0,88.6,0
2708,[015760],한국전력공사,12,2016,51.92,50.93,47.34,52.66,89.88,5.73,-8.75,1.96,1.01,10.92,8.1,2.99,-0.93,4.3,13.93,14.24,inf,8219.66,-514.11,17.62,0
2709,[063570],한국전자금융,12,2016,133.64,133.04,46.81,53.19,87.99,112.34,14.33,0.0,0.0,,inf,,23.51,11.52,,0.0,,0.0,0.0,23.5,0
2710,[041460],한국전자인증,12,2016,252.44,251.89,31.23,68.77,45.41,95.41,45.94,0.0,0.0,,,,13.45,16.91,,0.0,,0.0,0.0,0.0,0
2711,[006200],한국전자홀딩스,12,2016,982.49,982.49,6.96,0.0,inf,614.27,11.39,-inf,-4.24,0.0,2.72,14.87,-8.2,,,1.41,inf,inf,33.99,17.16,0
2712,[101680],한국정밀기계,12,2016,337.18,78.73,20.74,79.26,26.16,11.72,49.18,-4.5,-3.58,-inf,-inf,,-13.79,-14.54,-69.46,0.0,,0.0,0.0,1.05,0
2713,[039740],한국정보공학,12,2016,153.48,123.51,38.7,61.3,63.14,4.82,19.54,-3.91,-2.41,4.9,-2.22,-18.84,-14.39,-14.82,-26.86,30.82,inf,298.52,475.78,-18.25,0
2714,[053300],한국정보인증,12,2016,355.7,355.59,20.72,79.28,26.13,121.73,52.19,0.0,0.0,,inf,,33.85,44.44,,0.0,,0.0,0.0,51.31,0
2715,[025770],한국정보통신,12,2016,179.96,177.67,37.89,62.11,60.99,12.63,28.72,4.97,2.99,16.36,10.47,23.93,13.61,21.76,-1.12,37.15,196.27,5121.09,359.17,35.04,0
2716,[002300],한국제지,12,2016,195.47,125.89,25.43,74.57,34.11,3.53,20.13,0.74,0.56,12.16,2.87,-0.05,3.63,2.07,3.72,20.5,87.31,145.27,275.4,8.79,0
2717,[023350],한국종합기술,12,2016,141.89,141.89,49.51,50.49,98.07,16.9,12.69,0.0,0.0,,,,7.44,0.83,,0.0,,,0.0,1.41,0
2718,[025890],한국주강,12,2016,1830.26,1608.64,3.31,96.69,3.42,30.76,57.21,-1.41,-1.34,inf,-inf,,-7.94,-5.18,-48.31,0.0,,0.0,0.0,128.27,0
2719,[000970],한국주철관공업,3,2016,243.01,149.03,17.28,82.72,20.89,35.7,22.9,0.49,0.41,15.35,2.54,6.99,3.69,0.2,7.08,11.77,inf,70.08,125.7,41.62,0
2720,[104700],한국철강,12,2016,374.06,315.37,18.35,81.65,22.47,57.5,38.29,1.55,1.27,,,,5.04,5.51,,0.0,,0.0,0.0,45.13,0
2721,[017960],한국카본,12,2016,538.24,398.1,15.24,84.76,17.98,221.44,58.46,1.31,1.11,inf,inf,,11.61,11.41,11.29,0.0,0.0,0.0,0.0,101.86,0
2722,[054040],한국컴퓨터,12,2016,592.77,528.05,12.16,87.84,13.84,66.12,56.14,0.0,0.0,4.75,3.19,-20.38,3.81,5.43,-20.16,54.24,inf,776.65,257.01,56.68,0
2723,[161890],한국콜마,12,2016,153.45,108.87,33.63,66.37,50.66,8.95,17.38,5.5,3.67,22.65,11.3,22.31,23.25,21.82,21.22,43.55,inf,315.97,587.42,24.69,0
2724,[024720],한국콜마홀딩스,12,2016,53.41,53.41,51.35,48.65,105.55,0.52,-23.62,1.24,0.61,,inf,,5.84,3.62,,0.0,0.0,,-0.0,1.35,0
2725,[021650],한국큐빅,12,2016,761.88,728.4,6.56,93.44,7.02,200.11,39.01,0.34,0.32,inf,-inf,,2.34,0.08,-34.11,0.0,0.0,0.0,0.0,-10.96,0
2726,[053590],한국테크놀로지,12,2016,188.07,183.11,33.72,66.28,50.88,5.0,22.69,-13.14,-6.86,-inf,-inf,,3.88,83.32,-90.89,0.0,0.0,0.0,0.0,-44.94,0
2727,[037230],한국팩키지,12,2016,278.86,234.67,25.53,74.47,34.29,48.66,45.08,1.99,1.49,16.18,6.79,5.61,7.41,6.92,42.24,28.59,133.67,223.73,169.74,13.72,0
2728,[047810],한국항공우주,12,2016,215.33,161.47,51.51,48.49,106.24,5.67,36.37,4.97,2.28,inf,inf,,6.14,19.01,-10.19,0.0,,0.0,0.0,9.46,0
2729,[123690],한국화장품,12,2016,381.76,306.97,14.37,85.63,16.78,4.69,37.97,5.17,4.45,48.17,-26.07,-22.2,23.45,22.25,-32.26,9.06,inf,83.96,60.77,-22.52,0
2730,[003350],한국화장품제조,12,2016,209.92,178.61,33.94,66.06,51.39,2.36,29.96,6.11,4.12,20.51,9.69,42.81,32.72,26.7,42.11,27.8,inf,314.38,241.46,48.81,0
2731,[030520],한글과컴퓨터,12,2016,235.17,234.5,12.36,87.64,14.1,51.69,15.01,2.47,2.18,90.46,33.59,6.37,7.16,6.26,6.48,11.39,inf,19717.4,183.35,78.92,0
2732,[011500],한농화성,12,2016,179.61,135.48,35.37,64.63,54.72,7.61,21.73,0.0,0.0,inf,inf,,11.8,7.96,8.78,0.0,0.0,0.0,0.0,17.79,0
2733,[002390],한독,12,2016,122.27,84.89,49.75,50.25,99.0,1.98,6.73,0.31,0.17,,,,17.68,0.6,,0.0,,0.0,0.0,-2.2,0
2734,[092460],한라IMS,12,2016,507.17,434.87,24.12,75.88,31.78,91.56,43.45,1.2,0.88,inf,inf,,-0.99,5.75,-10.55,0.0,0.0,0.0,0.0,0.0,0
2735,[053690],한미글로벌,12,2016,172.74,172.74,26.67,73.33,36.37,25.39,19.39,2.39,1.78,inf,inf,,22.24,18.46,-2.5,0.0,,,0.0,1.27,0
2736,[042700],한미반도체,12,2016,356.38,268.7,26.97,73.03,36.94,111.59,39.78,0.0,0.0,44.74,23.39,40.56,16.18,-2.46,35.82,15.86,inf,103.51,108.19,50.86,0
2737,[008930],한미사이언스,12,2016,106.75,106.75,15.01,84.99,17.67,95.39,0.88,0.3,0.25,,inf,,6.89,11.92,,0.0,,,0.0,94.44,0
2738,[128940],한미약품,12,2016,129.27,105.36,60.23,39.77,151.46,24.27,11.28,0.18,0.07,44.57,-0.64,-38.22,-9.33,-5.3,-59.41,12.15,inf,149.15,207.38,48.6,0
2739,[047080],한빛소프트,12,2016,123.44,123.44,46.42,53.58,86.65,20.49,8.63,-12.3,-6.24,21.36,-9.71,40.89,-10.46,-0.31,-4.25,16.63,inf,inf,297.7,-5.02,0
2740,[009240],한샘,12,2016,153.81,133.64,38.47,61.53,62.53,34.74,19.9,0.0,0.0,31.63,8.49,13.73,17.93,25.36,14.36,60.07,460.6,771.22,823.14,46.94,0
2741,[null],한섬피앤디,12,2016,47.68,24.5,48.6,51.4,94.57,13.89,-19.84,-1.13,-0.61,0.0,-14.4,17.53,6.84,-4.39,,1.81,inf,19.08,-20.47,2.12,1
2742,[003680],한성기업,12,2016,82.97,68.35,77.02,22.98,335.18,2.97,-11.38,-0.02,-0.01,16.76,2.45,9.99,7.57,-0.7,9.8,35.99,inf,295.42,-829.06,-1.51,0
2743,[105630],한세실업,12,2016,139.97,105.68,50.4,49.6,101.62,38.6,17.11,2.42,1.21,inf,inf,,7.21,5.48,-21.11,0.0,0.0,0.0,0.0,10.11,0
2744,[016450],한세예스24홀딩스,12,2016,19.73,19.73,33.74,66.26,50.91,0.02,-17.11,1.18,0.79,,inf,,2.79,0.31,,0.0,0.0,,-0.0,9.01,0
2745,[081970],한솔넥스지,12,2016,887.11,815.13,8.1,91.9,8.81,544.68,54.62,0.32,0.3,inf,-inf,,1.31,1.83,-0.55,0.0,,0.0,0.0,83.98,1
2746,[009180],한솔로지스틱스,12,2016,125.4,125.4,54.94,45.06,121.91,2.08,13.17,1.89,0.85,6.26,1.34,1.85,7.57,7.87,23.65,101.16,inf,inf,2047.92,7.83,0
2747,[070590],한솔인티큐브,12,2016,95.63,94.55,63.57,36.43,174.5,0.69,-2.52,-1.48,-0.56,inf,inf,,2.27,-3.96,19.3,0.0,,0.0,-0.0,-8.72,0
2748,[213500],한솔제지,12,2016,57.46,34.81,66.65,33.35,199.88,0.28,-19.17,2.36,0.69,21.68,8.63,-0.08,-3.37,27.51,16.84,25.42,inf,248.94,-361.85,17.28,0
2749,[014680],한솔케미칼,12,2016,53.79,36.18,41.25,58.75,70.2,2.44,-14.46,0.0,0.0,29.44,19.73,8.83,10.44,15.62,30.36,18.16,inf,344.33,-512.69,37.12,0
2750,[004710],한솔테크닉스,12,2016,69.3,56.07,57.34,42.66,134.39,15.71,-14.73,-6.45,-3.09,inf,inf,,-4.1,-22.72,1.44,0.0,0.0,0.0,-0.0,0.3,0
2751,[010420],한솔피엔에스,12,2016,132.28,124.95,67.65,32.35,209.15,27.82,20.87,0.51,0.18,inf,inf,,-9.55,-23.51,-22.3,0.0,,0.0,0.0,5.21,0
2752,[004150],한솔홀딩스,12,2016,6.17,6.17,8.4,91.6,9.17,0.0,-7.53,0.0,0.0,,inf,,2.8,-0.78,,0.0,,,-0.0,-12.19,0
2753,[025750],한솔홈데코,12,2016,89.34,51.54,49.57,50.43,98.28,2.74,-3.56,1.13,0.55,inf,inf,,-0.8,5.99,18.81,0.0,0.0,0.0,-0.0,10.52,0
2754,[042520],한스바이오메드,9,2016,192.68,115.09,26.44,73.56,35.94,10.43,15.31,2.55,1.99,44.42,20.9,19.99,22.64,8.57,19.46,11.81,67.55,104.26,170.45,1.19,0
2755,[004960],한신공영,12,2016,89.97,77.6,82.0,18.0,455.58,17.99,-7.11,2.64,0.45,inf,inf,,0.73,14.7,20.92,0.0,0.0,0.0,-0.0,8.34,0
2756,[011700],한신기계공업,12,2016,461.77,372.49,19.29,80.71,23.89,133.41,57.02,2.05,1.62,22.64,14.13,-0.62,4.28,9.44,-5.23,16.23,60.82,96.78,77.44,30.58,0
2757,[078350],한양디지텍,12,2016,129.16,77.03,31.41,68.59,45.8,16.17,7.17,-0.22,-0.14,inf,-inf,,-13.0,-2.91,-54.38,0.0,,0.0,0.0,-11.36,0
2758,[045100],한양이엔지,12,2016,159.96,159.25,48.63,51.37,94.67,4.27,28.14,13.21,6.55,inf,inf,,54.11,69.12,-27.08,0.0,,0.0,0.0,-9.27,0
2759,[064090],한양하이타오,12,2016,128.39,100.79,46.94,53.06,88.46,35.38,13.11,-34.64,-17.16,-inf,-inf,,-35.04,-27.03,-324.1,0.0,0.0,0.0,0.0,-27.19,1
2760,[018880],한온시스템,12,2016,137.73,122.38,37.94,62.06,61.14,7.34,9.27,0.0,0.0,,,,9.3,-0.12,,0.0,,0.0,0.0,19.79,0
2761,[009420],한올바이오파마,12,2016,669.66,547.13,16.33,83.67,19.52,61.24,65.72,0.52,0.43,,,,6.52,9.64,,0.0,,0.0,0.0,0.0,0
2762,[014130],한익스프레스,12,2016,110.29,107.41,60.72,39.28,154.6,1.74,4.4,0.0,0.0,3.1,1.94,6.95,12.27,9.54,-8.06,82.97,inf,5184.41,4238.45,5.67,0
2763,[046110],한일네트웍스,12,2016,166.01,136.48,36.56,63.44,57.62,33.33,23.19,1.98,1.33,7.28,2.66,30.68,44.43,26.1,34.38,42.19,inf,413.0,458.74,3.72,0
2764,[024740],한일단조,12,2016,73.35,44.23,52.55,47.45,110.73,9.39,-11.9,0.45,0.21,,,,-2.59,4.35,,0.0,,0.0,-0.0,18.4,0
2765,[005860],한일사료,12,2016,128.63,102.26,53.04,46.96,112.94,48.5,14.07,-0.04,-0.02,inf,inf,,15.1,31.02,-11.41,0.0,0.0,0.0,0.0,26.33,0
2766,[003300],한일시멘트,12,2016,275.25,241.24,26.97,73.03,36.94,107.86,26.48,1.3,0.93,,,,-0.79,3.64,,0.0,,0.0,0.0,5.61,0
2767,[002220],한일철강,12,2016,49.79,34.56,48.24,51.76,93.19,5.61,-17.7,0.75,0.36,12.97,6.33,-1.73,-12.31,3.01,217.89,7.96,103.34,183.12,-141.62,0.0,0
2768,[007770],한일화학,12,2016,824.03,404.87,14.02,85.98,16.31,31.47,39.58,1.24,1.08,inf,inf,,6.9,4.54,22.31,0.0,,0.0,0.0,-41.4,0
2769,[051600],한전KPS,12,2016,209.42,208.79,27.75,72.25,38.41,71.02,26.64,2.76,2.05,15.58,8.48,3.69,5.55,0.25,-22.91,28.7,inf,17658.62,260.87,40.21,0
2770,[052690],한전기술,12,2016,89.28,89.28,47.04,52.96,88.82,7.49,-3.96,1.39,0.7,33.91,2.43,-23.05,-7.58,2.48,21.53,15.67,136.98,inf,-1214.53,5.14,0
2771,[130660],한전산업,12,2016,204.07,200.53,54.36,45.64,119.12,38.64,28.65,0.0,0.0,,,,3.3,4.31,,0.0,,0.0,0.0,8.64,0
2772,[002320],한진,12,2016,59.07,58.18,55.95,44.05,127.04,14.67,-13.26,2.88,1.23,inf,-inf,,5.42,12.06,-31.32,0.0,,0.0,-0.0,-2.01,0
2773,[003480],한진중공업홀딩스,12,2016,427.75,427.75,9.28,90.72,10.23,19.96,29.12,-16.41,-15.04,,,,-48.66,-49.46,,0.0,,,0.0,15.9,0
2774,[180640],한진칼,12,2016,13.16,13.16,22.73,77.27,29.42,9.92,-15.64,-2.23,-1.77,,inf,,-0.94,-5.47,,0.0,,,-0.0,10.92,0
2775,[061460],한진피앤씨,12,2016,47.72,35.07,47.93,52.07,92.06,3.37,-24.03,4.19,1.98,inf,inf,,0.97,23.81,15.81,0.0,0.0,0.0,-0.0,3.76,1
2776,[005110],한창,12,2016,463.63,463.3,10.06,89.94,11.18,31.66,28.67,-1.08,-0.99,inf,-inf,,-2.75,-5.68,-27.2,0.0,,0.0,0.0,-75.59,0
2777,[079170],한창산업,12,2016,1622.65,1034.27,7.74,92.26,8.39,202.88,54.02,1.0,0.93,inf,inf,,3.54,3.07,291.57,0.0,0.0,0.0,0.0,-26.54,0
2778,[009460],한창제지,12,2016,201.34,144.33,61.53,38.47,159.95,55.92,24.33,7.96,2.71,18.3,7.3,9.97,5.43,37.68,21.4,32.71,inf,194.32,857.85,34.14,0
2779,[002680],한탑,12,2016,72.37,60.27,59.75,40.25,148.43,1.51,-15.67,0.44,0.17,15.05,4.07,3.43,-5.42,1.81,10.42,17.84,inf,236.93,-328.6,13.72,0
2780,[015540],핫텍,12,2016,146.75,142.63,55.36,44.64,124.02,56.21,18.19,-39.97,-13.97,,,,-50.81,-27.29,,0.0,0.0,0.0,0.0,-35.49,1
2781,[195870],해성디에스,12,2016,182.19,126.68,35.7,64.3,55.53,28.45,17.38,3.42,1.99,17.92,9.37,12.25,9.53,35.71,25.52,28.76,inf,256.8,478.29,18.35,0
2782,[034810],해성산업,12,2016,262.27,262.27,12.05,87.95,13.69,44.95,8.11,0.0,0.0,,inf,,6.81,3.71,,0.0,,,0.0,8.83,0
